Wall time,Step,Value
1701552182.639095,2283,3.5121989640174434e-05
1701552183.3810909,2314,7.026651292108e-05
1701552183.4810915,2318,8.991404320113361e-05
1701552183.6740932,2326,8.777074981480837e-05
1701552183.9730911,2338,3.41593477060087e-05
1701552184.4550943,2358,2.8809954528696835e-05
1701552184.579095,2363,3.563641803339124e-05
1701552184.602094,2364,2.5940516934497282e-05
1701552185.082096,2384,2.9424581953207962e-05
1701552185.1990967,2389,1.239674020325765e-05
1701552186.035091,2424,3.671386366477236e-05
1701552186.2720907,2434,1.7308693713857792e-05
1701552186.5520933,2446,2.698144453461282e-05
1701552187.153092,2472,0.00022965161770116538
1701552187.3641076,2481,3.748979725060053e-05
1701552188.1850927,2516,4.053549128002487e-05
1701552188.2090933,2517,7.207848102552816e-05
1701552188.2600982,2519,4.5260803744895384e-05
1701552189.2890916,2563,5.588791100308299e-05
1701552189.6920912,2580,1.285689722863026e-05
1701552189.738093,2582,2.1124116756254807e-05
1701552189.8500917,2587,1.2498494470492005e-05
1701552190.452093,2612,7.700989954173565e-05
1701552190.4760914,2613,4.3433323298813775e-05
1701552190.7200925,2623,4.07414700021036e-05
1701552190.7830942,2625,5.905281432205811e-05
1701552190.901108,2630,7.880586781539023e-05
1701552191.3220956,2644,9.716485510580242e-05
1701552191.4880939,2650,5.0924682000186294e-05
1701552191.7010922,2659,4.280770372133702e-05
1701552192.0610914,2674,4.243699731887318e-05
1701552192.1980991,2680,3.563141945051029e-05
1701552195.348094,2812,8.05075978860259e-06
1701552195.776091,2830,2.7089579816674814e-05
1701552196.6520915,2867,1.6940784917096607e-05
1701552196.9810948,2881,5.970695201540366e-05
1701552197.8150926,2916,1.7613889212952927e-05
1701552199.7530913,2999,7.117870154615957e-06
1701552200.3300908,3023,8.603713467891794e-06
1701552201.9740918,3094,6.29262922302587e-06
1701552202.161091,3102,5.1184306357754394e-06
1701552202.9950912,3138,3.891545929946005e-06
1701552203.6280906,3165,5.591800345428055e-06
1701552203.696091,3168,9.92192144622095e-06
1701552205.0640984,3226,7.717025255260523e-06
1701552206.5240932,3288,8.499126124661416e-06
1701552207.3260927,3322,1.571418579260353e-05
1701552207.3500934,3323,1.4741800441697706e-05
1701552208.1710918,3357,7.727648153377231e-06
1701552208.429091,3367,7.2932143666548654e-06
1701552208.500094,3370,8.864057235768996e-06
1701552208.5240915,3371,4.653013093047775e-06
1701552208.5740929,3373,7.735571671219077e-06
1701552208.6000917,3374,7.99957888375502e-06
1701552210.0090964,3432,2.2622436972596915e-06
1701552211.0530944,3472,3.3567541777301813e-06
1701552211.952092,3503,2.373181587245199e-06
1701552212.608091,3530,1.660316229390446e-06
1701552212.731095,3535,1.8167273765357095e-06
1701552213.297091,3557,3.4250690532644512e-06
1701552213.7450907,3576,2.0103225324419327e-06
1701552214.1260915,3591,1.3926074871051242e-06
1701552214.5110965,3607,2.7294654501019977e-06
1701552215.2940922,3639,1.5271983784259646e-06
